Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Walk / Run; 10 x 2 min walk 1 min run,Day Off,Walk / Run; 10 x 2 min walk 1 min run,Strength Training; 45-60 mins,Day Off,Long Run; 2.5 km (walk if needed)
2,Day Off,Walk / Run; 15 x 1 min walk 1 min run,Day Off,Walk / Run; 15 x 1 min walk 1 min run,Strength Training; 45-60 mins,Walk / Run; 15 x 1 min walk 1 min run,Long Run; 3 km (walk if needed)
3,Day Off,Walk / Run; 15 x 0.5 min walk 1.5 min run,Day Off,Walk / Run; 15 x 0.5 min walk 1.5 min run,Strength Training; 45-60 mins,Walk / Run; 15 x 0.5 min walk 1.5 min run,Long Run; 4 km (walk if needed)
4,Day Off,Walk / Run; 10 x 1 min walk 2 min run,Day Off,Walk / Run; 10 x 1 min walk 2 min run,Strength Training; 45-60 mins,Day Off,5 km
5,Day Off,Training Run; 4; repetition: 3-4,Training Run; 3; repetition: 3-4,Day Off,Training Run; 4; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 6; repetition: 2-3
6,Day Off,Training Run; 4; repetition: 3-4,Training Run; 3; repetition: 3-4,Day Off,Training Run; 4; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 7; repetition: 2-3
7,Day Off,Training Run; 5; repetition: 3-4,Training Run; 7; repetition: 3-4,Day Off,Training Run; 5; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 8; repetition: 2-3
8,Day Off,Training Run; 5; repetition: 3-4,Training Run; 7; repetition: 3-4,Day Off,Training Run; 5; repetition: 3-4,Strength Training; 45-60 mins,10
9,Day Off,Training Run; 5; repetition: 3-4,Training Run; 7; repetition: 3-4,Day Off,Training Run; 5; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 8; repetition: 2-3
10,Day Off,Training Run; 5; repetition: 3-4,Training Run; 7; repetition: 3-4,Day Off,Training Run; 5; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 11; repetition: 2-3
11,Day Off,Training Run; 7; repetition: 3-4,Training Run; 8; repetition: 3-4,Day Off,Training Run; 7; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 12; repetition: 2-3
12,Day Off,Training Run; 7; repetition: 3-4,Training Run; 8; repetition: 3-4,Day Off,Training Run; 7; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 10; repetition: 2-3
13,Day Off,Training Run; 7; repetition: 3-4,Training Run; 8; repetition: 3-4,Day Off,Training Run; 7; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 15; repetition: 2-3
14,Day Off,Training Run; 7; repetition: 3-4,Training Run; 10; repetition: 3-4,Day Off,Training Run; 7; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 17; repetition: 2-3
15,Day Off,Training Run; 7; repetition: 3-4,Training Run; 10; repetition: 3-4,Day Off,Training Run; 7; repetition: 3-4,Strength Training; 45-60 mins,Half Marathon; 21.1km; repetition: 2-3
16,Day Off,Training Run; 8; repetition: 3-4,Training Run; 11; repetition: 3-4,Day Off,Training Run; 8; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 17; repetition: 2-3
17,Day Off,Training Run; 8; repetition: 3-4,Training Run; 11; repetition: 3-4,Day Off,Training Run; 8; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 22; repetition: 2-3
18,Day Off,Training Run; 8; repetition: 3-4,Training Run; 11; repetition: 3-4,Day Off,Training Run; 8; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 25; repetition: 2-3
19,Day Off,Training Run; 8; repetition: 3-4,Training Run; 11; repetition: 3-4,Day Off,Training Run; 8; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 29; repetition: 2-3
20,Day Off,Training Run; 8; repetition: 3-4,Training Run; 11; repetition: 3-4,Day Off,Training Run; 8; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 25; repetition: 2-3
21,Day Off,Training Run; 8; repetition: 3-4,Training Run; 13; repetition: 3-4,Day Off,Training Run; 8; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 33; repetition: 2-3
22,Day Off,Training Run; 7; repetition: 3-4,Training Run; 7; repetition: 3-4,Day Off,Training Run; 7; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 16; repetition: 2-3
23,Day Off,Training Run; 5; repetition: 3-4,Training Run; 5; repetition: 3-4,Day Off,Training Run; 5; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 10; repetition: 2-3
24,Day Off,Training Run; 5; repetition: 3-4,Day Off,Easy Run; 3; repetition: 2-3,Day Off,Easy Run; 2.5km; repetition: 2-3,MARATHON; 42.2km; repetition: 5
